id,url,name,website,people_count,senior_people_count,emails_count,personal_emails_count,phones_count,addresses_count,investors_count,clients_count,partners_count,changes_count,people_changes_count,contact_changes_count,description_short
15385178,https://www.aihitdata.com/company/00EAC25A/free-preschool-crafts/overview,Free Preschool Crafts,freepreschoolcrafts.com,0,0,0,0,0,0,0,0,0,34,0,0,"FreePreschoolCrafts.com offers parents, teachers and care providers simple, affordable and fun crafts intended to be completed (with supervision) by children ages 2 to 6. We include photos of every project, and new crafts are posted twice a week."
12698504,https://www.aihitdata.com/company/00C1C388/myharddrivedied/overview,MyHardDriveDied,myharddrivedied.com,0,0,2,0,1,5,0,0,0,328,1,36,"The team at My Hard Drive Died are a highly experienced, passionate about data recovery. We have helped government agencies, corporations and those interested in learning more...  MyHardDriveDied.com is a website that brings together the experience,"
21360408,https://www.aihitdata.com/company/0145EF18/done-deal-estate-sales-appraisals/overview,Done Deal Estate Sales & Appraisals,donedealestatesales.com,1,0,1,0,1,1,0,0,0,113,10,9,"Done Deal Estate Sales & Appraisals was established by long time South Tampa antique dealer, Richard Brenner, who has 35 years experience in the antiques business. Richard is able to provide clients with knowledge and expertise necessary to achieve"
23562862,https://www.aihitdata.com/company/01678A6E/mitigation-training-academy/overview,Mitigation Training Academy,mitigationtrainingacademy.com,1,0,1,0,1,1,0,0,0,27,0,7,"The Mitigation Training Academy is a revolutionized technical trade school offering a wide variety of educational and consulting services including IICRC Certification for technicians, insurance claim consulting, and continuing education classes for"
30481351,https://www.aihitdata.com/company/01D11BC7/mis-consulting-sales/overview,MIS Consulting & Sales,mis-erpsolutions.ca,0,0,5,0,4,6,0,0,0,29,0,0,"MIS is the premier sales and support organization providing implementation, support, and appropriate business applications. We specialize in Epicor ERP software. MIS recognizes the value of each person's contribution in bringing technology,"
23949248,https://www.aihitdata.com/company/016D6FC0/horsham-autotech/overview,Horsham Autotech,horshamautotech.com.au,0,0,2,0,4,4,0,0,0,21,0,0,"Horsham Autotech is the Wimmera's largest indep endent automotive servicing and repair centre specialising in automotive servicing and repairs, automotive LPG, automotive air-conditioning, automotive computer diagnostics, roadworthy and safety"
23866739,https://www.aihitdata.com/company/016C2D73/cbt/overview,CBT,cbtsystems.co.uk,0,0,1,0,1,1,0,0,0,27,0,1,"Once we have developed an understanding as to how our thoughts, feelings and behaviours are maintaining our distress, CBT aims to help find alternative, more constructive ways of thinking about particular situations and issues. It also helps us to"
32007113,https://www.aihitdata.com/company/01E863C9/southwestern-group-of-companies/overview,Southwestern Group of Companies,southwesternofficesuppliesok.com,0,0,1,0,6,2,0,0,0,68,1,8,"Southwestern Printing has decades of experience and deep roots in the community. We offer the latest technology and equipment to handle any job. Most important of all, we have the people and skills to provide a superior product and outstanding"
10397648,https://www.aihitdata.com/company/009EA7D0/quinlan/overview,Quinlan,jquinlan.com,0,0,2,0,1,0,0,0,0,8,0,0,"Quinlan Custom Software Development is a software consulting company based in San Diego, California, that provides a diverse selection of software devlopment skills for today's real-time embedded software systems...  Our company's experienced"
29838199,https://www.aihitdata.com/company/01C74B77/tiyu/overview,TIYU,tiyu.pro,0,0,0,0,1,0,0,0,0,18,0,0,"Usually people tend to launch their product or brand without a thorough planning, perhaps they did plan but only with self-perspective view...
 A small agency yet brimming with passion in IT Consulting business, specialize in website and design."
9434794,https://www.aihitdata.com/company/008FF6AA/resonance-solutions/overview,Resonance Solutions,westonitsolutions.com,0,0,0,0,0,0,0,0,0,50,0,2,"Resonate with your customers by engaging with and leveraging a reliable and capable partner. With years of experience providing various services, we are confident we can provide the best solutions to your problems."
33929149,https://www.aihitdata.com/company/0205B7BD/setwave/overview,SetWave,setwavegroup.com,0,0,1,0,0,0,0,0,0,5,0,0,"SetWave Group is a team of experienced financial services and FinTech marketing experts trained in Fortune 100 firms, proven in Silicon Valley start-ups, and focused on getting stuff done. We are builders - we help our clients build their brand, grow"
31106139,https://www.aihitdata.com/company/01DAA45B/beaumont-hotel/overview,Beaumont Hotel,thebeaumont-louth.co.uk,0,0,1,0,1,1,0,0,0,249,0,7,
38829513,https://www.aihitdata.com/company/02507DC9/kwb-entertainment/overview,KWB Entertainment,sublimeservings.com,0,0,0,0,1,0,0,0,0,0,0,0,KWB Entertainment INC. is the corporation that holds the DBA's for several business. most of them can be found listed on this website. should you have any questions please feel free to contact our corporate headquarters listed in the contact us
31980402,https://www.aihitdata.com/company/01E7FB72/blairworks/overview,Blairworks,pacificwebdesigns.net,1,0,0,0,1,0,0,0,0,18,0,0,"Blairworks specializes in developing user-friendly, self-manageable websites that convey the unique identity of the organization. We also specialize in Internet marketing, including search engine optimization (SEO) and social media optimization"
39036377,https://www.aihitdata.com/company/0253A5D9/bathurst-drug-mart/overview,Bathurst Drug Mart,bathurstdrugmart.com,0,0,1,0,3,1,0,0,0,6,0,0,"We are an independent community pharmacy providing one-stop health care by offering a variety of services including: free medication reviews, seniors care, specialty compounding, home health care products, free blister-packaging ... - LIST ALL"
8504671,https://www.aihitdata.com/company/0081C55F/robert-lackey-construction-and-design/overview,Robert Lackey Construction and Design,robertlackey.com,0,0,1,0,0,0,0,0,0,4,0,0,"Robert Lackey Construction and Design, Inc. is a professional and personal construction company focused on building homes with integrity. Our experience is primarily in custom residential homes...  Our philosophy is to design and build homes with"
36096929,https://www.aihitdata.com/company/0226CBA1/pvds-technology-s-r-o/overview,"PVDS Technology, s.r.o.",pvds.tech,0,0,1,0,1,0,0,0,0,6,0,0,"PVDS Technology offers the sales of imported products from a warehouse and under the order. We are a distributor of many brands...  We deliver goods from different parts of the globe, including USA, China, Japan, South Korea and Russia. Organize the"
17629103,https://www.aihitdata.com/company/010CFFAF/touch-voice/overview,Touch Voice,touch-voice.com,1,1,2,0,0,0,0,0,0,151,0,4,"Touch Voice is a speaking app for persons who have a vocal or speech impairment usually due to a medical condition. By speaking for them, the Touch Voice app allows them to communicate with family, friends, doctors, nurses and care givers...  Touch"
39007983,https://www.aihitdata.com/company/025336EF/actif-signal/overview,Actif Signal,actif-signal.com,0,0,1,0,1,1,0,0,0,0,0,0,"We are specialized in research, design, manufacture, installation and maintenance of lighted signs, signage, neon and LED lighting...  Manufacture of Neon Led Illuminated Signs, Light Signage for shops, points of sale, high-rise buildings and"
37758250,https://www.aihitdata.com/company/0240252A/stillage-manufacturers/overview,Stillage Manufacturers,stillagemanufacturers.com,0,0,2,0,1,2,0,0,0,3,0,0,"We manufacture and supply a unique, diverse and bespoke range of steel stillage, available to customers locally, nationally and internationally. All steel stillage, pallets and bins we manufacture are in accordance with ISO 9001:2015 regulations and"
34305104,https://www.aihitdata.com/company/020B7450/peri-peri-chicken-shaq/overview,Peri Peri Chicken ShaQ,theperiperichickenshaqmcr.co.uk,0,0,0,0,0,1,0,0,0,0,0,0,
18809463,https://www.aihitdata.com/company/011F0277/belgian-challengers/overview,Belgian Challengers,belgianchallengers.be,0,0,0,0,0,0,0,0,0,6,0,0,
12857223,https://www.aihitdata.com/company/00C42F87/vernon-s-studio/overview,Vernon's Studio,vernonsstudio.co.uk,0,0,1,0,0,1,0,0,0,80,0,2,"Bespoke web design for the tourism sector. We design innovative attractive websites that top Google search and drive customers to your Hotel, bed and breakfast or self catering holiday home...  Vernon's Studio designs websites for Hotels, B&B's and"
9915497,https://www.aihitdata.com/company/00974C69/granite-marble-gallery/overview,Granite & Marble Gallery,chicagograniteshop.com,0,0,1,0,1,1,0,0,0,3,0,0,"HanStone Quartz product line is ideally suited for countertops, vanities, bar tops and other surfaces throughout the home. We combine natural quartz, one of nature's hardest materials, with high-quality polymer resin and pigment to produce a durable"
29825877,https://www.aihitdata.com/company/01C71B55/grubhub/overview,GrubHub,thaidistrict.net,0,0,0,0,1,1,0,0,0,24,0,0,"First and only in Downtown Long Beach Modern Thai, very authentic in taste and ingredients. Features northern style, street food in a hip and modern decor...  View our menu and reviews for Thai District located at 149 Linden Ave Ste E - Long Beach."
36325870,https://www.aihitdata.com/company/022A49EE/macaneserecipes/overview,macaneserecipes,macaneserecipes.com,0,0,1,0,0,0,0,0,0,17,0,0,"With many more recipes to explore and share our collection will continue to grow...
 Explore Macanese cuisine with our tested and easy to follow recipes,browse our collection of more than 60 heritage recipes."
31868593,https://www.aihitdata.com/company/01E646B1/mass-movement-management/overview,Mass Movement Management,massmovement.uk.com,7,4,1,0,1,2,0,3,0,188,17,12,"Live Event Production Company and Talent Management Agency, Mass Movement Management is the premier agency for everything 'live'...
 Mass Movement is both a premier talent management agency and innovative live event production company."
6707111,https://www.aihitdata.com/company/006657A7/ggda/overview,GGDA,ggda.org,1,0,1,0,1,0,0,0,0,669,36,46,"To promote the growth and success of game manufacturers in Georgia by providing oversight and guidance of government and academic involvement, identification and availability of resources, creation and application of best practices and"
8752049,https://www.aihitdata.com/company/00858BB1/skyletech/overview,SkyleTech,skyletech.com,0,0,0,0,1,1,0,0,0,27,0,0,"SkyleTech has designed software in multiple industries including but not limited to Educational, Pharmaceutical,"
29549906,https://www.aihitdata.com/company/01C2E552/beaufront-first-school/overview,Beaufront First School,beaufront-first-school.co.uk,11,0,1,0,1,1,0,0,0,21,4,0,Beaufront First School supports www.easyfundraising.org.uk - an easy way for retailers to donate commission to our school PTA for purchases made online by you...  We offer a high quality educational environment in which children are happy and
6444712,https://www.aihitdata.com/company/006256A8/etpcwizard-com/overview,etpcwizard.com,etpcwizard.com,0,0,0,0,0,0,0,0,0,7,0,0,Provide consulting for business where social media and new media advertising assist in driving new business into our client's locations and generate more repeat business from their existing customers while achieving a fair profit...  Consulting with
3994135,https://www.aihitdata.com/company/003CF217/on-the-road-driving-school/overview,On The Road Driving School,ontheroaddrivingschool.co.uk,0,0,1,0,1,1,0,0,0,27,0,0,"On The Road Driving School are a driving school in Billericay, offering 1 to 1 tuition from a High grade instructor with 14 years experience. We offer a competitive professional service and all our driving lessons in Brentwood are tailored to suit"
39741254,https://www.aihitdata.com/company/025E6746/shanghai-eroad/overview,SHANGHAI EROAD,china-eroad.com,0,0,1,0,1,0,0,0,0,0,0,0,"With the goal of ""zero distance, zero price and zero operation"", we provide customers with the most advantageous supply chain management and consulting services...  With joint efforts,it has developed into a large scale, well-equipped and quality"
37660620,https://www.aihitdata.com/company/023EA7CC/emergency-notary/overview,Emergency Notary,emergencynotarytx.com,0,0,1,0,1,2,0,0,0,0,0,0,"Emergency Notary was founded in 2003 by Yolanda Perez, and has provided professional notary services to title companies, mortgage companies, mobile notary companies, and tax offices. As a mobile notary service, Emergency Notary has been and continues"
39166145,https://www.aihitdata.com/company/0255A0C1/jankitrainings/overview,jankitrainings,jankitrainings.com,0,0,1,0,1,0,0,0,0,0,0,0,"Our mission is to help people regardless of ability, age or background to realise their goals for the future through the support of the highest quality tuition available. We aim to help all students achieve their potential by giving them"
22930010,https://www.aihitdata.com/company/015DE25A/mountainmiracles-com/overview,MountainMiracles.com,mountainmiracles.com,0,0,1,0,1,0,0,0,0,66,0,0,"Welcome to Mountain Miracles. For ages, nature has provided healing miracles for people around the globe, and now we're bringing them to you."
36439643,https://www.aihitdata.com/company/022C065B/big-avocado/overview,Big Avocado,bigavocado.digital,0,0,0,0,1,0,0,0,0,44,0,0,"We design and build your MVP from UX to full cloud architecture. Help you identify a pilot group and conduct market research as the first steps toward making your vision a reality...  As a modern web development agency, we'll build your products to"
9117512,https://www.aihitdata.com/company/008B1F48/thor-world-travel/overview,Thor World Travel,thorworldtravel.com,5,1,7,4,2,2,0,0,0,166,13,13,"Here are just a few of the featured experiences Thor World Travel can help you with. For our full range of travel services, view our Destinations page...  At Thor Travel we work together as a team so our customers benefit from all our combined"
34001271,https://www.aihitdata.com/company/0206D177/estuary-underwriting-limited/overview,Estuary Underwriting Limited,estuaryunderwriting.co.uk,5,3,6,2,7,5,0,0,0,97,26,6,"Estuary Underwriting Ltd is owned and managed by experienced underwriters, who have maintained a philosophy of writing business for profit and not income. All aspects of the business are focused towards the highest professional standards and to"
11936513,https://www.aihitdata.com/company/00B62301/kk-mechanical/overview,KK Mechanical,kkmechanical.net,0,0,0,0,0,0,0,0,0,66,0,6,KK Mechanical is uniquely qualified to work on commercial projects of any type. Our history includes a wide range of experience across the Western United States and Hawaii. We pride ourselves in being able to successfully complete projects that
33397588,https://www.aihitdata.com/company/01FD9B54/ne-mo/overview,NE.MO,nemosupport.com,0,0,1,0,0,0,0,0,0,0,0,0,"All information monitored by Ne.Mo. can be organized into 'favorites' by each user in a similar way to the bookmarks of any browser. Through a simple drag & drop you can organize, view, delete, add bookmarks any charts. Ne.Mo. also provides a search"
32920192,https://www.aihitdata.com/company/01F65280/make-difference/overview,Make Difference,harmonyandstyle.net,0,0,1,0,6,0,0,0,0,0,0,0,"Since 2009 when Susan and Daniel Jones opened their first store in Newtown, they've believed in supporting our local farmers. They questioned the look of produce found in the major supermarkets and wondered where all the imperfect fruit and"
26598467,https://www.aihitdata.com/company/0195DC43/miragebrasil-com/overview,miragebrasil.com,miragebrasil.com,0,0,0,0,0,0,0,0,0,33,0,0,
5433599,https://www.aihitdata.com/company/0052E8FF/atm-san-antonio/overview,ATM San Antonio,atmsanantonio.com,0,0,0,0,1,0,0,0,0,95,0,2,At ATM San Antonio we are your one source ATM company for any and all of your ATM requirements. We know how valuable the ATM is to your business and your business to us. ATM San Antonio placement services and sales are designed for locations that
27850220,https://www.aihitdata.com/company/01A8F5EC/tree-farm-communications/overview,Tree Farm Communications,treefarmtapes.com,1,0,1,0,2,1,0,0,0,22,0,0,"2017 NorthWest Herb Symposium recordings available soon! Sign up for email updates to be notified when recordings are available. Close...  Jay and Bridget Johnson, Owner/Operators of Tree Farm Communications, Inc. Nationally recognized as an expert"
